Index,Station code,Station name,اسم المحطة,Metro line number,Station type code,Station type,نوع المحطة,Geographical coordinates,Comments,تعليقات,Stations Sequence,geo_point_2d
57,1B2,King Fahd District 2,حي الملك فهد 2,1,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.66338701990518, 24.73665171554253], ""type"": ""Point""}",,,6,"24.73665171554253, 46.66338701990518"
26,1C2,Alinma Bank,مصرف الانماء,1,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.68032471057251, 24.70316648220116], ""type"": ""Point""}",,,10,"24.70316648220116, 46.68032471057251"
58,1C4,King Fahd Library,مكتبة الملك فهد,1,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.6873653489969, 24.68969024261919], ""type"": ""Point""}",,,12,"24.68969024261919, 46.6873653489969"
72,1E2,Passport Department,الجوازات,1,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.70439494253413, 24.65956045632056], ""type"": ""Point""}",,,15,"24.65956045632056, 46.70439494253413"
8,1F5,Al Bat’ha,البطحاء,1,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.71523382845812, 24.63793144884599], ""type"": ""Point""}",,,17,"24.63793144884599, 46.71523382845812"
60,2A2,King Salman Oasis,واحة الملك سلمان,2,1,Elevated,مرتفع,"{""coordinates"": [46.63877718460973, 24.71662928533406], ""type"": ""Point""}",,,27,"24.71662928533406, 46.63877718460973"
48,2A3,KACST,المدينة التقنية,2,3,Shallow Underground,تحت الأرض على عمق ضحل,"{""coordinates"": [46.64693246597055, 24.72017061216426], ""type"": ""Point""}",,,28,"24.72017061216426, 46.64693246597055"
55,2C1,King Abdulaziz Road,طريق الملك عبدالعزيز,2,3,Shallow Underground,تحت الأرض على عمق ضحل,"{""coordinates"": [46.68521931745428, 24.73623884393125], ""type"": ""Point""}",,,32,"24.73623884393125, 46.68521931745428"
80,2C3,Riyadh Exhibition Center,مركز الرياض للمعارض,2,1,Elevated,مرتفع,"{""coordinates"": [46.72721163892653, 24.75378482455737], ""type"": ""Point""}",,,35,"24.75378482455737, 46.72721163892653"
9,2E1/6F1,Al Hamra,الحمراء,2,1,Elevated,مرتفع,"{""coordinates"": [46.77675786070972, 24.77642102227688], ""type"": ""Point""}",,,37,"24.77642102227688, 46.77675786070972"
59,2G1,King Fahad Sport City,مدينة الملك فهد الرياضية,2,2,At Grade,على مستوى الأرض,"{""coordinates"": [46.83699440610236, 24.79243565532622], ""type"": ""Point""}",,,40,"24.79243565532622, 46.83699440610236"
47,3A1,Jeddah Road,طريق جده,3,1,Elevated,مرتفع,"{""coordinates"": [46.54339421952785, 24.59121360322294], ""type"": ""Point""}",,,41,"24.59121360322294, 46.54339421952785"
13,3D2,Al Jarradiyah,الجرادية,3,1,Elevated,مرتفع,"{""coordinates"": [46.69821822387604, 24.61845741064425], ""type"": ""Point""}",,,48,"24.61845741064425, 46.69821822387604"
78,1F7/3E2,Qasr Al Hokm,قصر الحكم,3,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.71605976865056, 24.62852568362789], ""type"": ""Point""}",,,50,"24.62852568362789, 46.71605976865056"
11,3E3,Al Hilla,الحلة,3,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.72092052341459, 24.63174974583536], ""type"": ""Point""}",,,51,"24.63174974583536, 46.72092052341459"
41,3E6,First Industrial City,المدينة الصناعية الأولى,3,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.73949283534146, 24.64518207915902], ""type"": ""Point""}",,,54,"24.64518207915902, 46.73949283534146"
15,3F2,Al Malaz,الملز,3,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.74505406619882, 24.66109427633321], ""type"": ""Point""}",,,56,"24.66109427633321, 46.74505406619882"
46,3G1,Jarir District,حي جرير,3,1,Elevated,مرتفع,"{""coordinates"": [46.76052059417431, 24.67297035932004], ""type"": ""Point""}",,,57,"24.67297035932004, 46.76052059417431"
97,4C1,Uthman Bin Affan Rd.,طريق عثمان بن عفان,4,1,Elevated,مرتفع,"{""coordinates"": [46.69634901482668, 24.80050291216557], ""type"": ""Point""}",,,65,"24.80050291216557, 46.69634901482668"
89,4G3,Airport  T1-2,الصالة 1-2,4,1,Elevated,مرتفع,"{""coordinates"": [46.70002847728534, 24.96281541599763], ""type"": ""Point""}","Modification on 26.03.2025, the English name of the station has been changed from ""Terminal 1-2"" to ""Airport T1-2"".","تعديل بتاريخ 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ""Terminal 1-2"" إلى ""Airport T1-2"".",71,"24.96281541599763, 46.70002847728534"
69,1F4/5A1,National Museum,المتحف الوطني,5,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.71427983670233, 24.64607279558212], ""type"": ""Point""}",,,72,"24.64607279558212, 46.71427983670233"
70,5A2,King Abdulaziz Hospital,مستشفى الملك عبدالعزيز,5,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.71727365226771, 24.65904589369298], ""type"": ""Point""}",,,74,"24.65904589369298, 46.71727365226771"
66,5A5,Ministry of Defence,وزارة الدفاع,5,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.71825678997175, 24.66712507970303], ""type"": ""Point""}","Modification on the 26.03.2025, the English name of the station has been changed from ""MODA"" to ""Ministry of Defence"".","تعديل في 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ”""MODA"" إلى ”Ministry of Defence“.",75,"24.66712507970303, 46.71825678997175"
71,5B2,Officers Club,نادي الضباط,5,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.71802902980748, 24.69752283785252], ""type"": ""Point""}",,,78,"24.69752283785252, 46.71802902980748"
3,5B4,Ad Dhabab,الضباب,5,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.70835711021662, 24.70915859869369], ""type"": ""Point""}",,,80,"24.70915859869369, 46.70835711021662"
51,1A1/4A1,KAFD,المركز المالي,6,1,Elevated,مرتفع,"{""coordinates"": [46.64360617754577, 24.7681786337211], ""type"": ""Point""}",,,84,"24.7681786337211, 46.64360617754577"
10,2E1/6F1,Al Hamra,الحمراء,6,1,Elevated,مرتفع,"{""coordinates"": [46.77657649147416, 24.77632719132187], ""type"": ""Point""}",,,90,"24.77632719132187, 46.77657649147416"
6,6G1,Al Andalus,الأندلس,6,1,Elevated,مرتفع,"{""coordinates"": [46.79050988521736, 24.75674689952316], ""type"": ""Point""}",,,91,"24.75674689952316, 46.79050988521736"
54,6G2,Khurais Road,طريق خريص,6,1,Elevated,مرتفع,"{""coordinates"": [46.80009645445539, 24.73808432123275], ""type"": ""Point""}","Modification on 26.03.2025, the English name of the station has been changed from ""Khurais Rd."" to ""Khurais Road"".","تعديل بتاريخ 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ""Khurais Rd."" إلى ""Khurais Road"".",92,"24.73808432123275, 46.80009645445539"
32,6H1,As Salam,السلام,6,1,Elevated,مرتفع,"{""coordinates"": [46.8114455888186, 24.72219711748086], ""type"": ""Point""}",,,93,"24.72219711748086, 46.8114455888186"
81,1Y1,SAB,الأول,1,1,Elevated,مرتفع,"{""coordinates"": [46.61843964843821, 24.82943980747947], ""type"": ""Point""}",,,1,"24.82943980747947, 46.61843964843821"
40,1Z1,Dr. Sulaiman Al Habib,د.سليمان الحبيب,1,1,Elevated,مرتفع,"{""coordinates"": [46.62654386725997, 24.81155379383345], ""type"": ""Point""}",,,2,"24.81155379383345, 46.62654386725997"
